,m,uw,jh,ae,ay,oy,sh,dx,th,v,hh,aa,ey,q,t,f,g,n,k,b,aw,y,d,z,ng,iy,w,uh,ow,r,ch,l,dh,ah,ih,p,er,s,eh
s_aa,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,5.0,37.0,0.0,0.0,443.5,0.0,0.0,56.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,5.0,2.0,24.0,10.5,0.0,1.0,0.0,475.5,20.0,0.0,7.0,201.5,5.5
s_ay,0.0,2.0,0.0,0.0,100.5,0.0,0.0,0.0,0.0,0.0,16.0,19.5,12.5,0.0,419.0,1.0,0.0,61.0,0.0,0.0,0.0,1.5,0.0,2.5,1.0,0.0,0.0,1.5,2.0,14.0,0.0,1.5,0.0,583.5,31.0,0.0,31.0,114.0,4.5
s_eh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.5,0.0,160.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,5.5,0.0,0.0,0.0,0.0,384.0,161.5,0.0,14.5,168.0,24.0
s_er,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,3.5,0.0,0.0,161.5,5.5,0.0,101.5,1.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,1.5,50.0,4.0,3.0,0.0,0.5,0.0,219.5,313.5,0.0,77.0,161.5,6.0
s_ey,0.0,27.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,2.5,0.5,126.0,0.0,204.5,0.5,0.0,22.5,0.0,0.0,0.0,6.5,0.0,32.0,1.0,2.5,0.0,4.0,2.0,2.0,0.0,0.5,0.0,77.5,400.5,0.0,1.5,51.0,53.5
s_ih,0.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.5,0.5,0.0,60.0,2.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,3.5,0.5,0.0,0.0,0.0,0.0,67.0,469.0,0.0,6.0,261.0,4.0
s_ow,4.0,2.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.5,15.5,1.0,0.0,334.0,0.5,0.0,103.5,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,8.0,23.0,99.5,2.0,0.0,0.0,0.0,330.0,81.0,0.0,8.0,191.5,18.0
s_s,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,2.5,607.0,0.0
s_t,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,568.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.5,0.0,17.5,370.0,0.5
t_aa,0.5,0.0,0.0,0.0,28.5,0.0,0.0,0.0,0.0,0.0,4.0,101.5,0.0,0.0,341.0,0.0,0.0,207.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,2.0,209.5,16.5,0.0,0.0,0.0,258.0,0.5,0.0,50.0,0.0,9.5
t_ay,0.0,1.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,33.5,57.5,12.0,0.0,193.5,0.0,0.0,96.5,1.0,1.5,0.0,0.0,0.0,0.0,0.5,0.0,2.5,3.0,24.0,28.0,0.0,0.5,0.0,349.5,3.5,0.0,65.5,0.0,7.5
t_eh,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,14.0,0.0,206.5,0.0,0.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,105.5,1.5,0.0,0.0,0.0,262.0,16.0,0.0,67.5,0.0,57.5
t_ey,0.0,32.0,0.0,0.0,11.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,304.0,0.0,135.0,0.0,0.0,17.0,0.5,0.0,0.0,1.5,0.0,0.0,1.0,0.5,0.5,4.0,24.5,3.0,0.0,0.0,0.0,68.0,79.5,0.0,16.5,0.0,124.5
t_ow,2.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,19.5,0.0,0.0,283.0,0.0,0.0,221.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,9.5,574.0,1.0,0.0,2.0,0.0,143.5,6.5,0.0,18.0,0.0,16.5
t_t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.5,0.0,5.5,1.5,0.0
